Accession,Protein Name,Length,Organism Scientific Neme
A0A7H9HKI9,DNA repair and recombination protein RAD52,405,Torulaspora sp. CBS 2947
G3ATR5,DNA repair and recombination protein RAD52,458,Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)
A0A2J8S3N7,"RAD52 homolog, DNA repair protein",300,Pongo abelii
A0A384BFQ3,DNA repair protein RAD52 homolog,419,Balaenoptera acutorostrata scammoni
A0A3P3YIV5,Rad52/22 double-strand break repair protein,308,Plasmodiophora brassicae
A0A5J5MYK9,DNA repair protein RAD52 homolog,416,Muntiacus reevesi
A0A5N3VI01,DNA repair protein RAD52 homolog,416,Muntiacus muntjak
A0A672S681,RAD52,127,Sinocyclocheilus grahami
A0A6J0GDL5,RAD52 protein,419,Lepidothrix coronata
A0A6P4XPI0,DNA repair protein RAD52 homolog,411,Panthera pardus
A0A6P4XUJ2,DNA repair protein RAD52 homolog,412,Panthera pardus
A0A6P6CTX8,"RAD52 homolog, DNA repair protein",358,Pteropus vampyrus
S9Q1L5,DNA repair and recombination protein RAD52,372,Schizosaccharomyces octosporus (strain yFS286)
W5K2R4,RAD52 protein,399,Astyanax mexicanus
A0A087R1F0,RAD52 protein,419,Aptenodytes forsteri
A0A091MWU7,RAD52 protein,417,Acanthisitta chloris
A0A3B4YU91,DNA repair protein RAD52 homolog,430,Seriola lalandi dorsalis
A0A3Q3Q907,DNA repair protein RAD52 homolog,427,Monopterus albus
A0A6I9ZDM4,DNA repair protein RAD52 homolog,411,Acinonyx jubatus
A0A6J2H478,RAD52 protein,418,Pipra filicauda
A0A6P6JDE2,"RAD52 homolog, DNA repair protein",432,Carassius auratus
A0A7E6D520,DNA repair protein RAD52 homolog,413,Phyllostomus discolor
A0A7J7ZLG0,"RAD52 homolog, DNA repair protein",416,Pipistrellus kuhlii
A0A024G5R1,DNA repair and recombination protein RAD52,326,Albugo candida
A0A2J8S3P7,DNA repair protein RAD52 homolog,416,Pongo abelii
A0A2K5U9U3,DNA repair protein RAD52 homolog,419,Macaca fascicularis
A0A3L8SHX4,RAD52 protein,423,Chloebia gouldiae
A0A455BS53,DNA repair protein RAD52 homolog,417,Physeter macrocephalus
A0A663ERQ6,RAD52 protein,417,Aquila chrysaetos chrysaetos
A0A6J0G997,RAD52 protein,418,Lepidothrix coronata
A0A6J3A149,DNA repair protein RAD52 homolog,419,Vicugna pacos
A0A821W5Q1,RAD52 protein,420,Ranitomeya imitator
A0A834AZF5,DNA repair protein RAD52 homolog,415,Phyllostomus discolor
H0ZQU2,RAD52 protein,419,Taeniopygia guttata
A0A091TPQ2,RAD52 protein,421,Phaethon lepturus
A0A093R3D7,RAD52 protein,420,Phalacrocorax carbo
A0A212F3X6,VASt domain-containing protein,268,Danaus plexippus plexippus
A0A2K5CTK1,DNA repair protein RAD52 homolog,419,Aotus nancymaae
A0A341AFZ8,DNA repair protein RAD52 homolog,418,Neophocaena asiaeorientalis asiaeorientalis
A0A3Q1JNT3,DNA repair protein RAD52 homolog,436,Anabas testudineus
A0A3Q7W0H3,DNA repair protein RAD52 homolog,415,Ursus arctos horribilis
A0A5F9CUD2,DNA repair protein RAD52 homolog,417,Oryctolagus cuniculus
A0A672NHN1,"RAD52 homolog, DNA repair protein",432,Sinocyclocheilus grahami
A0A6G0IYP3,DNA repair protein RAD52 homolog,436,Larimichthys crocea
A0A6J2D008,DNA repair protein RAD52 homolog,436,Zalophus californianus
Q9JKZ7,DNA repair protein RAD52 homolog,418,Cricetulus griseus
R1D6B4,DRBM domain-containing protein,366,Emiliania huxleyi
A0A077WA77,DNA repair and recombination protein RAD52,355,Lichtheimia ramosa
A0A091HF12,RAD52 protein,420,Buceros rhinoceros silvestris
A0A4T0G090,DNA repair and recombination protein RAD52,434,Wallemia hederae
A0A6A5BNC1,DRBM domain-containing protein,231,Naegleria fowleri
A0A6D2WB94,DNA repair protein RAD52 homolog,417,Pan troglodytes
A0A6D2X7U7,"RAD52 homolog, DNA repair protein",418,Pongo abelii
A0A6J3CM69,RAD52 protein,421,Aythya fuligula
A0A6J3CMN5,RAD52 protein,423,Aythya fuligula
A0A6P5I420,DNA repair protein RAD52 homolog,292,Bombus terrestris
A0A6P5LHA4,RAD52,390,Phascolarctos cinereus
A0A7J8JKC8,DNA repair protein RAD52 homolog,420,Rousettus aegyptiacus
A0A834ELA2,DNA repair protein RAD52 homolog,412,Phyllostomus discolor
G1QQ16,DNA repair protein RAD52 homolog,420,Nomascus leucogenys
G3QUD4,"RAD52 homolog, DNA repair protein",418,Gorilla gorilla gorilla
G3VQX2,RAD52,413,Sarcophilus harrisii
G5BWP4,DNA repair protein RAD52 homolog,414,Heterocephalus glaber
A0A091LSS0,RAD52 protein,420,Cariama cristata
A0A091X0C8,RAD52 protein,420,Nipponia nippon
A0A0A0A5T5,RAD52 protein,420,Charadrius vociferus
A0A250YHT3,DNA repair protein RAD52 homolog,413,Castor canadensis
A0A452QG03,DNA repair protein RAD52 homolog,415,Ursus americanus
G5E879,DNA repair protein RAD52 homolog,419,Mus musculus
A0A091JDW4,RAD52 protein,418,Egretta garzetta
A0A091NBY0,RAD52 protein,416,Apaloderma vittatum
A0A091PG20,RAD52 protein,422,Leptosomus discolor
A0A093JED6,RAD52 protein,419,Fulmarus glacialis
A0A099Z4M6,RAD52 protein,420,Tinamus guttatus
A0A1A0HIS4,RAD52 DNA repair protein RADC,439,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
A0A1S3WFQ2,DNA repair protein RAD52 homolog,413,Erinaceus europaeus
A0A2K6CLQ1,DNA repair protein RAD52 homolog,419,Macaca nemestrina
A0A2K6UNT5,DNA repair protein RAD52 homolog,419,Saimiri boliviensis boliviensis
A0A341AFY8,DNA repair protein RAD52 homolog,419,Neophocaena asiaeorientalis asiaeorientalis
A0A484GXB0,DNA repair protein RAD52 homolog,419,Sousa chinensis
A0A4X2KE82,"RAD52 homolog, DNA repair protein",420,Vombatus ursinus
A0A672VCP9,RAD52 protein,406,Strigops habroptila
A0A6I9HH83,RAD52 protein,419,Geospiza fortis
A0A6J1R9Q2,uncharacterized protein LOC112467397,141,Temnothorax curvispinosus
A0A6J3FWC9,DNA repair protein RAD52 homolog,419,Sapajus apella
E3RCS0,Uncharacterized protein,1191,Pyrenophora teres f. teres (strain 0-1)
F0W0T5,RAD52 DNA repair protein RADC,351,Albugo laibachii Nc14
G7PJJ7,DNA repair protein RAD52 homolog,419,Macaca fascicularis
Q4KLT1,RAD52 protein,429,Xenopus laevis
U3IGC0,RAD52 protein,420,Anas platyrhynchos platyrhynchos
A0A091QC74,RAD52 protein,420,Merops nubicus
A0A091UBS0,RAD52 protein,416,Phoenicopterus ruber ruber
A0A093CKU5,RAD52 protein,419,Tauraco erythrolophus
A0A096NEC1,DNA repair protein RAD52 homolog,419,Papio anubis
A0A2K5S698,DNA repair protein RAD52 homolog,419,Cebus imitator
A0A2K6K991,DNA repair protein RAD52 homolog,419,Rhinopithecus bieti
A0A2U3WRR3,DNA repair protein RAD52 homolog,431,Odobenus rosmarus divergens
A0A452UB63,DNA repair protein RAD52 homolog,418,Ursus maritimus
A0A671DMI2,RAD52,126,Rhinolophus ferrumequinum
A0A6P3F792,DNA repair protein RAD52 homolog,413,Octodon degus
F6Q9I8,DNA repair protein RAD52 homolog,420,Monodelphis domestica
G1PUF0,DNA repair protein RAD52 homolog,425,Myotis lucifugus
G7N5C8,DNA repair protein RAD52 homolog,419,Macaca mulatta
H9FXY9,DNA repair protein RAD52 homolog,419,Macaca mulatta
L8IML9,DNA repair protein RAD52 homolog,427,Bos mutus
P06778,DNA repair and recombination protein RAD52,471,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
A0A091GGX9,RAD52 protein,420,Cuculus canorus
A0A2K6P4T0,DNA repair protein RAD52 homolog,419,Rhinopithecus roxellana
A0A2K6TUN5,RRM domain-containing protein,251,Saimiri boliviensis boliviensis
A0A2R8ZJX7,DNA repair protein RAD52 homolog,417,Pan paniscus
A0A3Q3IQ03,DNA repair protein RAD52 homolog,437,Monopterus albus
A0A671YB52,DNA repair protein RAD52 homolog,435,Sparus aurata
A0A6J3S9N7,DNA repair protein RAD52 homolog,419,Tursiops truncatus
A0A091L5N3,RAD52 protein,420,Chlamydotis macqueenii
A0A091W8H4,RAD52 protein,420,Opisthocomus hoazin
A0A093FNU4,RAD52 protein,420,Tyto alba
A0A2I0MKL1,RAD52 protein,420,Columba livia
A0A2J8LJI6,RAD52 motif-containing protein 1,228,Pan troglodytes
A0A2V1AMK2,DNA repair and recombination protein RAD52,445,[Candida] haemuloni
A0A3P9HX04,DNA repair protein RAD52 homolog,440,Oryzias latipes
A0A452GS04,RAD52 protein,419,Gopherus agassizii
A0A507DAH1,RPOLD domain-containing protein,868,Synchytrium endobioticum
A0A5F5Y1F8,DNA repair protein RAD52 homolog,420,Felis catus
K7D1Q9,DNA repair protein RAD52 homolog,417,Pan troglodytes
K7FJP3,RAD52 protein,418,Pelodiscus sinensis
U3D250,DNA repair protein RAD52 homolog,419,Callithrix jacchus
U3FEV5,DNA repair protein RAD52 homolog,419,Callithrix jacchus
A0A2J8KMI5,DNA repair protein RAD52 homolog,418,Pan troglodytes
A0A2Y9DVE2,DNA repair protein RAD52 homolog,430,Trichechus manatus latirostris
A0A642UKR6,DNA repair and recombination protein RAD52,404,Diutina rugosa
A0A663N8E6,RAD52 protein,417,Athene cunicularia
A0A6I9NWJ2,"RAD52 homolog, DNA repair protein",424,Notothenia coriiceps
A0A6P8U4A0,"RAD52 homolog, DNA repair protein",422,Gymnodraco acuticeps
U3E559,DNA repair protein RAD52 homolog,419,Callithrix jacchus
A0A093FIV1,RAD52 protein,420,Gavia stellata
A0A2G6GKC2,DRBM domain-containing protein,183,Chloroflexi bacterium
A0A3Q3EZI3,RAD52,142,Labrus bergylta
A0A3Q7ML70,DNA repair protein RAD52 homolog,434,Callorhinus ursinus
A0A6J0DZH3,DNA repair protein RAD52 homolog,420,Peromyscus maniculatus bairdii
A0A7G3ZB95,DNA repair and recombination protein RAD52,431,Torulaspora globosa
F7DHI3,"RAD52 homolog, DNA repair protein",426,Xenopus tropicalis
Q4U0V3,"RAD52 homolog, DNA repair protein",434,Danio rerio
A0A1J9S6K4,Pheromone processing carboxypeptidase kex1,1178,Diplodia corticola
A0A2I4BJ32,"RAD52 homolog, DNA repair protein",426,Austrofundulus limnaeus
A0A6I9P493,"RAD52 homolog, DNA repair protein",422,Notothenia coriiceps
A0A6J0E3M8,DNA repair protein RAD52 homolog,421,Peromyscus maniculatus bairdii
A0A6J2KIP3,DNA repair protein RAD59,320,Bombyx mandarina
G1T5P6,"RAD52 homolog, DNA repair protein",426,Oryctolagus cuniculus
R1F1G5,DRBM domain-containing protein,363,Emiliania huxleyi
W6MRH6,DNA repair and recombination protein RAD52,436,Kuraishia capsulata CBS 1993
A0A091R9N3,RAD52 protein,420,Mesitornis unicolor
A0A3P9LKG3,DNA repair protein RAD52 homolog,440,Oryzias latipes
A0A6A6V8Z0,Alpha/beta-hydrolase,1223,Sporormia fimetaria CBS 119925
A0A060Z6E8,RAD52,165,Oncorhynchus mykiss
A0A093HML0,RAD52 protein,419,Struthio camelus australis
A0A1L8GQQ7,RAD52 protein,429,Xenopus laevis
A0A3Q3L8Y1,DNA repair protein RAD52 homolog,437,Mastacembelus armatus
A0A4W6DXT4,DNA repair protein RAD52 homolog,435,Lates calcarifer
A0A6I9LWG1,DNA repair protein RAD52 homolog,422,Peromyscus maniculatus bairdii
A0A6P7MV02,DNA repair protein RAD52 homolog,436,Betta splendens
A0A6P8F541,DNA repair protein RAD52 homolog,436,Clupea harengus
A0A821ML54,DNA repair protein RAD52 homolog,424,Ranitomeya imitator
A0A834KYQ6,"RAD52 homolog, DNA repair protein",439,Oryzias melastigma
Q4G099,"RAD52 homolog, DNA repair protein",434,Danio rerio
A0A066VT33,DsRNA-binding domain-like protein,363,Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)
A0A0G2K552,DNA repair protein RAD52 homolog,398,Rattus norvegicus
A0A195ELP2,DNA repair protein RAD52 homolog,280,Trachymyrmex cornetzi
A0A1D5NXF5,RAD52 protein,422,Gallus gallus
A0A3N4ICE9,DNA repair and recombination protein RAD52,340,Ascobolus immersus RN42
A0A4P5VN72,DNA repair protein Rad52,407,Cyanobium sp.
A0A6A5EWT5,DNA repair protein RAD52 homolog,429,Perca fluviatilis
A0A6J2KDM1,DNA repair protein RAD59,319,Bombyx mandarina
A0A7E6D543,DNA repair protein RAD52 homolog,424,Phyllostomus discolor
A0A834B1U9,DNA repair protein RAD52 homolog,422,Phyllostomus discolor
A0A178DVR4,Uncharacterized protein,1194,Pyrenochaeta sp. DS3sAY3a
A0A3Q0CII4,DNA repair protein RAD52 homolog,431,Mesocricetus auratus
A0A3Q7ML81,DNA repair protein RAD52 homolog,435,Callorhinus ursinus
A0A6A5KNJ1,Uncharacterized protein,1201,Decorospora gaudefroyi
A0A6J2ZXK8,DNA repair protein RAD52 homolog,428,Vicugna pacos
C5DWC8,DNA repair and recombination protein RAD52,427,Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)
G1NL26,RAD52 protein,422,Meleagris gallopavo
A0A3Q0G802,RAD52 protein,431,Alligator sinensis
A0A428TAR2,RAD52 DNA repair protein RADC,375,Fusarium oligoseptatum
A0A7J7Z8L8,DNA repair protein RAD52 homolog,430,Myotis myotis
A0A7J8JM52,DNA repair protein RAD52 homolog,436,Rousettus aegyptiacus
C4Y037,DNA repair and recombination protein RAD52,435,Clavispora lusitaniae (strain ATCC 42720)
A0A137QAX4,Rad52/22 double-strand break repair protein,344,Leucoagaricus sp. SymC.cos
A0A3Q0CDI6,DNA repair protein RAD52 homolog,432,Mesocricetus auratus
A0A4D9E5X7,RAD52 protein,407,Platysternon megacephalum
A0A6B0RE14,RAD52 motif-containing protein 1,394,Bos mutus
A0A7J7Z817,DNA repair protein RAD52 homolog,359,Myotis myotis
A0JPD4,"RAD52 homolog, DNA repair protein",426,Xenopus tropicalis
A0A1Q3A0H4,DNA repair and recombination protein RAD52,427,Zygosaccharomyces rouxii
A0A7E6D575,DNA repair protein RAD52 homolog,423,Phyllostomus discolor
G3B6S4,DNA repair and recombination protein RAD52,408,Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70)
H0XBZ6,DNA repair protein RAD52 homolog,425,Otolemur garnettii
A0A484D3P4,DNA repair protein RAD52 homolog,433,Perca flavescens
A0A4Z2C8S6,DNA repair protein RAD52 homolog,406,Takifugu bimaculatus
A0A6A6RNA2,Alpha/beta-hydrolase,1235,Massarina eburnea CBS 473.64
A0A811XZJ1,"RAD52 homolog, DNA repair protein",428,Nyctereutes procyonoides
A0A1A7Z4G9,DNA repair protein RAD52 homolog,355,Iconisemion striatum
A0A1S7HHK5,DNA repair and recombination protein RAD52,423,Zygosaccharomyces parabailii
A0A2V1D0A6,DUF3568 family protein,98,Periconia macrospinosa
A0A2Y9NFY2,DNA repair protein RAD52 homolog,435,Delphinapterus leucas
A0A3B5MSI5,"RAD52 homolog, DNA repair protein",163,Xiphophorus couchianus
A0A3Q7ML66,DNA repair protein RAD52 homolog,434,Callorhinus ursinus
A0A510P5V5,DNA repair and recombination protein RAD52,454,Candida auris
A0A6J3A022,DNA repair protein RAD52 homolog,435,Vicugna pacos
G8ZMC8,DNA repair and recombination protein RAD52,432,Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866)
Q8VEE2,DNA repair protein RAD52 homolog,427,Mus musculus
A0A421J9S3,DNA repair and recombination protein RAD52,420,Meyerozyma sp. JA9
A0A5E4AS63,DNA repair protein RAD52 homolog,422,Marmota monax
A0A6J3S9I3,DNA repair protein RAD52 homolog,435,Tursiops truncatus
A0A7J8JKJ7,DNA repair protein RAD52 homolog,439,Rousettus aegyptiacus
I3M4G0,DNA repair protein RAD52 homolog,422,Ictidomys tridecemlineatus
A0A1Q3AEG9,DNA repair and recombination protein RAD52,424,Zygosaccharomyces rouxii
A0A673V0N8,DNA repair protein RAD52 homolog,433,Suricata suricatta
A0A6A5SGE0,Uncharacterized protein,1236,Clathrospora elynae
A0A1E4T7T5,DNA repair and recombination protein RAD52,430,[Candida] arabinofermentans NRRL YB-2248
A0A1S7HUT8,DNA repair and recombination protein RAD52,423,Zygosaccharomyces parabailii
A0A1Y1ZKT5,Alpha/Beta hydrolase protein,1237,Clohesyomyces aquaticus
A0A3P9AP92,DNA repair protein RAD52 homolog,440,Esox lucius
A0A3S2UIY2,DNA repair protein RAD52 homolog,439,Oryzias javanicus
A0A6H5K4D8,Recombinase domain-containing protein,145,Ectocarpus sp. CCAP 1310/34
A0A7J6BJ86,DNA repair protein RAD52 homolog,454,Onychostoma macrolepis
A0A673GIV2,"RAD52 homolog, DNA repair protein",456,Sinocyclocheilus rhinocerous
A0A6J0U2V8,RAD52 motif-containing protein 1,212,Pogona vitticeps
A0A6J3A026,"RAD52 homolog, DNA repair protein",374,Vicugna pacos
A0A6J3FWD1,DNA repair protein RAD52 homolog,431,Sapajus apella
A0A6P6EMN8,"RAD52 homolog, DNA repair protein",417,Octodon degus
A0A6P9AKK2,DNA repair protein RAD52 homolog,435,Pantherophis guttatus
A0A835TY29,RAD52 protein,430,Lamprotornis superbus
A0A0L0P0E9,DNA repair and recombination protein RAD52,454,Candida auris
A0A1G4MFW8,RAD52-like protein,431,Lachancea fermentati
A0A2J8RCK7,RAD52 motif-containing protein 1,227,Pongo abelii
A0A2K6TUE4,RRM domain-containing protein,166,Saimiri boliviensis boliviensis
A0A5Q0JEQ9,DNA repair and recombination protein RAD52,434,Clavispora lusitaniae
A0A6A7ASI3,Uncharacterized protein,1227,Plenodomus tracheiphilus IPT5
A0A6J2PZT8,"RAD52 homolog, DNA repair protein",428,Cottoperca gobio
A0A6J2ZZB7,DNA repair protein RAD52 homolog,434,Vicugna pacos
A0A6P3HVK2,DNA repair protein RAD52 homolog,432,Bison bison bison
A0A7J6B9Q2,DNA repair protein RAD52 homolog,430,Ameiurus melas
W0TAC6,DNA repair and recombination protein RAD52,445,Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275)
A0A2H1A555,DNA repair and recombination protein RAD52,454,Candida auris
A0A2Y9T3B1,DNA repair protein RAD52 homolog,434,Physeter macrocephalus
A0A3M7LVK9,Pheromone-processing carboxypeptidase kex1,1245,Pyrenophora seminiperda CCB06
A0A3P8S5D4,RAD54 homolog B,150,Amphiprion percula
A0A4W5M1R3,DNA repair protein RAD52 homolog,445,Hucho hucho
A0A671PCL0,"RAD52 homolog, DNA repair protein",458,Sinocyclocheilus anshuiensis
A0A2D0RHR4,DNA repair protein RAD52 homolog,430,Ictalurus punctatus
A0A7E6D5R6,DNA repair protein RAD52 homolog,335,Phyllostomus discolor
A0A7J7ZM61,DNA repair protein RAD52 homolog,435,Pipistrellus kuhlii
A0A7X3U059,Nuclease,283,Acidobacteria bacterium
A5DI36,DNA repair and recombination protein RAD52,423,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)
A0A0D2DLL3,RAD52 DNA repair protein RADC,533,Fonsecaea pedrosoi CBS 271.37
A0A3B3QCA6,DNA repair protein RAD52 homolog,448,Paramormyrops kingsleyae
A0A6A6A5S2,Alpha/beta-hydrolase,1214,Dothidotthia symphoricarpi CBS 119687
A0A6P3HVP8,DNA repair protein RAD52 homolog,431,Bison bison bison
A0A6P5LKT2,"RAD52 homolog, DNA repair protein",421,Phascolarctos cinereus
B7Z5Q6,DNA repair protein RAD52 homolog,341,Homo sapiens
P36592,DNA repair and recombination protein rad22,469,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
A0A0C7NBA1,DNA repair and recombination protein RAD52,447,Lachancea lanzarotensis
A0A1B2JIG8,DNA repair and recombination protein RAD52,455,Komagataella pastoris
A0A341ADQ1,DNA repair protein RAD52 homolog,343,Neophocaena asiaeorientalis asiaeorientalis
A0A4C2E599,DNA repair and recombination protein RAD52,427,Zygosaccharomyces mellis
A0A0A8L1L0,DNA repair and recombination protein RAD52,432,Kluyveromyces dobzhanskii CBS 2104
A0A151NIW0,RAD52 protein,440,Alligator mississippiensis
A0A5N5DLR9,RAD52 DNA repair protein RADC,451,Lasiodiplodia theobromae
A0A068RPX9,RAD52 DNA repair protein RADC,387,Lichtheimia corymbifera JMRC:FSU:9682
A0A0P4Y4Y5,DNA repair and recombination protein RAD52,385,Daphnia magna
A0A5P2UC28,DNA repair and recombination protein RAD52,436,Kluyveromyces lactis
A0A673V0L6,DNA repair protein RAD52 homolog,438,Suricata suricatta
A0A6A5EPD9,RAD52 motif-containing protein 1,303,Perca fluviatilis
A0A6A6TQ57,Alpha/beta-hydrolase,1261,Lophiostoma macrostomum CBS 122681
A0A5C6P8J0,DNA repair protein RAD52 homolog,406,Takifugu flavidus
A0A672NJA0,"RAD52 homolog, DNA repair protein",458,Sinocyclocheilus grahami
A0A060TCG3,DNA repair and recombination protein RAD52,409,Blastobotrys adeninivorans
A0A177DEB7,Uncharacterized protein,1191,Alternaria alternata
A0A672FCI9,RAD52,142,Salarias fasciatus
A0A6I9WMT8,DNA repair protein RAD52 homolog,290,Pogonomyrmex barbatus
A0A7J5Z0R0,"RAD52 homolog, DNA repair protein",380,Dissostichus mawsoni
A0A1S3MKT8,DNA repair protein RAD52 homolog,448,Salmo salar
A0A3Q0CKF1,DNA repair protein RAD52 homolog,376,Mesocricetus auratus
A0A5A9PR48,RAD52 protein,452,Triplophysa tibetana
A0A674C5A8,DNA repair protein RAD52 homolog,448,Salmo trutta
A0A6P7IER8,DNA repair protein RAD52 homolog,357,Parambassis ranga
E9GB55,DNA repair and recombination protein RAD52,408,Daphnia pulex
A0A1E3P7H7,DNA repair and recombination protein RAD52,453,Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8)
A0A1E3QWB0,DNA repair and recombination protein RAD52,434,Babjeviella inositovora NRRL Y-12698
A0A665TWC1,"RAD52 homolog, DNA repair protein",353,Echeneis naucrates
